Time,Prediction,id,Rolling,grouping,resolution
2017-05-17 16:54:55.711608000,0.6,11748,,forecasters,1.0
2017-05-17 16:54:55.711608000,0.6,13800,,forecasters,1.0
2017-05-17 16:54:55.711608000,0.6,23075,,forecasters,1.0
2017-05-17 16:54:55.711608000,0.6,5881,,forecasters,1.0
2017-05-17 16:54:55.711608000,0.6,9719,,forecasters,1.0
2017-05-17 16:54:55.711608064,0.6,,,community_mean,1.0
2017-05-17 16:54:55.769145088,0.3473722537620918,,,metaculus,1.0
2017-05-17 18:48:17.584516000,0.7,11958,,forecasters,1.0
2017-05-17 18:48:17.584516000,0.7,9650,,forecasters,1.0
2017-05-17 18:48:17.584516000,0.7,6035,,forecasters,1.0
2017-05-17 18:48:17.697666048,0.3664403687352182,,,metaculus,1.0
2017-05-17 20:13:25.784724000,0.9,7035,,forecasters,1.0
2017-05-17 20:13:25.852530944,0.38102741573144716,,,metaculus,1.0
2017-05-17 20:57:46.981501000,0.43,6074,,forecasters,1.0
2017-05-17 20:57:46.981501000,0.43,12227,,forecasters,1.0
2017-05-17 20:57:46.981501000,0.43,9726,,forecasters,1.0
2017-05-17 20:57:46.988608000,0.3665920845398183,,,metaculus,1.0
2017-05-18 05:19:38.370213000,0.52,5960,,forecasters,1.0
2017-05-18 05:19:38.370213000,0.52,20818,,forecasters,1.0
2017-05-18 05:19:38.443695104,0.3604261175602593,,,metaculus,1.0
2017-05-18 06:20:03.150248000,0.69,15578,,forecasters,1.0
2017-05-18 06:20:03.150248000,0.69,24953,,forecasters,1.0
2017-05-18 06:20:03.150248000,0.69,12270,,forecasters,1.0
2017-05-18 06:20:03.150248000,0.69,5928,,forecasters,1.0
2017-05-18 06:20:03.159002112,0.38705540170944475,,,metaculus,1.0
2017-05-18 10:16:09.789192000,0.48,6230,,forecasters,1.0
2017-05-18 10:16:09.789192000,0.48,10143,,forecasters,1.0
2017-05-18 10:16:09.789192000,0.48,14091,,forecasters,1.0
